"FullName","SizeMB","SizeGB","LastWriteTime"
"C:\Users\haihuicui\Documents\WeChat Files\wxid_ug3luwywisnk22\BackupFiles\iphone_630a295d53301ef26306ade812a3cc25\BAK_0_MEDIA","1273.89","1.24","2026/6/9 13:36:38"
"C:\Users\haihuicui\Documents\WeChat Files\wxid_ug3luwywisnk22\BackupFiles\iphone_630a295d53301ef26306ade812a3cc25\BAK_0_TEXT","528.79","0.52","2026/6/9 13:36:38"
"C:\Users\haihuicui\AppData\Local\Temp\nw0y55rd\Microsoft.VisualStudio.Web.AzureFunctions.7FF96404FF1EC9751D1D\Microsoft.WebTools.Azure.Functions.Vsix.vsix","390.07","0.38","2026/6/23 19:14:25"
"C:\Users\haihuicui\Downloads\BayzeProII_1.0.1.2_Setup_offline(1).exe","319.9","0.31","2026/6/12 10:30:58"
"C:\Users\haihuicui\Downloads\BayzeProII_1.0.1.2_Setup_offline.exe","319.86","0.31","2026/6/12 9:11:25"
"C:\Users\haihuicui\Downloads\xuser Setup 1.0.0-s44.exe","280.1","0.27","2026/5/20 14:34:59"
"C:\Users\haihuicui\Downloads\xuser Setup 1.0.1-s50-202606111457.exe","279.92","0.27","2026/6/11 15:02:21"
"C:\Users\haihuicui\Downloads\WeChatSetup.exe","270.01","0.26","2026/6/9 13:16:07"
"C:\Users\haihuicui\AppData\Local\Temp\nw0y55rd\Xamarin.VisualStudio.0B76DFEE59FCCE951132\Xamarin.VisualStudio.17.14.271.vsix","231.1","0.23","2026/6/23 19:07:40"
"C:\Users\haihuicui\Downloads\WeChatWin_4.1.10.exe","228.31","0.22","2026/6/9 15:41:46"
"C:\Users\haihuicui\Downloads\MQTTX-Setup-1.13.0.exe","194.57","0.19","2026/6/2 16:56:32"
"C:\Users\haihuicui\AppData\Local\Temp\vscode-stable-user-x64\CodeSetup-stable-7e7950df89d055b5a378379db9ee14290772148a.exe","191.94","0.19","2026/6/25 11:44:02"
"C:\Users\haihuicui\AppData\Local\Temp\nw0y55rd\Microsoft.VisualStudio.IntelliCode.A6763A07C2F786AFA739\Microsoft.VisualStudio.IntelliCode.vsix","191.54","0.19","2026/6/23 11:29:54"
"C:\Users\haihuicui\Downloads\CursorSetup-x64-3.8.24.exe","187.86","0.18","2026/6/25 16:42:41"
"C:\Users\haihuicui\Downloads\Xmind-for-Windows-x64bit-26.03.04129-202605240216.exe","180.08","0.18","2026/5/27 14:01:15"
"C:\Users\haihuicui\Downloads\CursorUserSetup-x64-3.5.33.exe","177.42","0.17","2026/5/25 17:23:27"
"C:\Users\haihuicui\Desktop\xuser-pro Setup 1.1.0_202604011754.exe","155.17","0.15","2026/4/1 17:54:09"
"C:\Users\haihuicui\AppData\Local\Temp\nw0y55rd\VisualStudio.GitHub.Copilot.07E9E533E9982E5842CC\VisualStudio.GitHub.Copilot.vsix","125.54","0.12","2026/6/23 11:29:05"
"C:\Users\haihuicui\AppData\Local\Temp\nw0y55rd\Microsoft.NetCore.Toolset.9.0.315.04EB711D4BDC7824BAD7\dotnet-sdk-internal-9.0.315-win-x64.msi","120.49","0.12","2026/6/23 11:29:42"
"C:\Users\haihuicui\Desktop\上传谱图数据\ADFDSF#237479@TD-767666\GC-MS.zip","116.56","0.11","2024/6/18 9:52:20"
"C:\Users\haihuicui\Desktop\上传谱图数据\GC-MS-package\x\11\222\GC-MS.zip","116.55","0.11","2024/6/17 11:05:57"
"C:\Users\haihuicui\Desktop\上传谱图数据\GC-MS-package\x\11\GC-MS.zip","116.55","0.11","2024/6/17 10:57:11"
"C:\Users\haihuicui\Desktop\上传谱图数据\GC-MS-package\x\GC-MS.zip","116.55","0.11","2024/6/17 10:42:16"
"C:\Users\haihuicui\Desktop\上传谱图数据\GC-MS.zip","116.54","0.11","2024/6/26 9:58:22"
"C:\Users\haihuicui\Downloads\1__4002009.exe","102.32","0.1","2026/4/30 10:24:31"
"C:\Users\haihuicui\Downloads\uuyc_4.29.0.exe","84.48","0.08","2026/6/24 19:33:58"
"C:\Users\haihuicui\AppData\Local\Temp\nw0y55rd\Microsoft.VC.14.44.17.14.CRT.x86.Desktop.base.82DC3DCF48994612A571\Microsoft.VC.14.44.17.14.CRT.x86.Desktop.base.vsix","83.5","0.08","2026/6/23 11:29:53"
"C:\Users\haihuicui\AppData\Local\Temp\nw0y55rd\Win11SDK_WindowsPerformanceToolkit.45441DD1347DD4DE327E\Installers\WPTx64 (DesktopEditions)-x86_en-us.msi","80.12","0.08","2026/6/23 18:58:55"
"C:\Users\haihuicui\AppData\Local\Temp\nw0y55rd\Win11SDK_WindowsPerformanceToolkit.45441DD1347DD4DE327E\Installers\WPTx64 (DesktopEditions)-x64_en-us.msi","80.12","0.08","2026/6/23 18:41:51"
"C:\Users\haihuicui\AppData\Local\Temp\nw0y55rd\Win11SDK_WindowsPerformanceToolkit.45441DD1347DD4DE327E\Installers\WPTarm64 (DesktopEditions)-arm64_en-us.msi","75.47","0.07","2026/6/23 18:44:09"
